claim_id,candidate_id,metric,value,unit,definition,boundary,condition,reported_or_recalculated,section,figure,table,verification_status,notes
CLM-0014-01,PC-CAND-0014,processed_power_fraction,18.18,%,Pconv/Pout = abs(1-Vin/Vout),FB/PP S-PPC system point,"Vin=180 V; Vout=220 V; Iout=100 A",recalculated,"Eqs. 10-12; Experimental results",Fig. 21,Table 4,numerically_verified,"Paired with 97% measured overall/system efficiency at the same Table-4 point."
CLM-0014-02,PC-CAND-0014,system_efficiency,97,%,measured overall/system conversion efficiency,FB/PP S-PPC including direct path and active regulator,"Vin=180 V; Vout=220 V; Iout=100 A",reported,Experimental results,Fig. 21,Table 4,numerically_verified,"Do not replace this operating-point ratio with the 1/5 design rating."
CLM-0014-03,PC-CAND-0014,processed_power_fraction,0.91,%,Pconv/Pout = abs(1-Vin/Vout),FB/PP S-PPC system point,"Vin=222 V; Vout=220 V; Iout=99 A",recalculated,"Eqs. 10-12; Experimental results",Fig. 21,Table 4,numerically_verified,"Measured Vin is 222 V, so processed fraction is not exactly zero."
CLM-0014-04,PC-CAND-0014,system_efficiency,99,%,measured overall/system conversion efficiency,FB/PP S-PPC including direct path and active regulator,"Vin=222 V; Vout=220 V; Iout=99 A",reported,Experimental results,Fig. 21,Table 4,numerically_verified,"Same operating point as CLM-0014-03."
CLM-0014-05,PC-CAND-0014,processed_power_fraction,10.91,%,Pconv/Pout = abs(1-Vin/Vout),FB/PP S-PPC system point,"Vin=244 V; Vout=220 V; Iout=100 A",recalculated,"Eqs. 10-12; Experimental results",Fig. 21,Table 4,numerically_verified,"Paired with 97% measured efficiency."
CLM-0014-06,PC-CAND-0014,system_efficiency,97,%,measured overall/system conversion efficiency,FB/PP S-PPC including direct path and active regulator,"Vin=244 V; Vout=220 V; Iout=100 A",reported,Experimental results,Fig. 21,Table 4,numerically_verified,"Same operating point as CLM-0014-05."
CLM-0014-07,PC-CAND-0014,processed_power_fraction,15.91,%,Pconv/Pout = abs(1-Vin/Vout),FB/PP S-PPC system point,"Vin=255 V; Vout=220 V; Iout=100 A",recalculated,"Eqs. 10-12; Experimental results",Fig. 21,Table 4,numerically_verified,"Paired with 96% measured efficiency."
CLM-0014-08,PC-CAND-0014,system_efficiency,96,%,measured overall/system conversion efficiency,FB/PP S-PPC including direct path and active regulator,"Vin=255 V; Vout=220 V; Iout=100 A",reported,Experimental results,Fig. 21,Table 4,numerically_verified,"Same operating point as CLM-0014-07."
CLM-0014-09,PC-CAND-0014,processed_power_fraction_design_max,20,%,converter design/rating fraction,FB/PP S-PPC transformer/converter rating,"22-kW system; Pconv design=4.4 kW",reported,Design section,,Table 5,numerically_verified,"This is a design maximum/rating and must not be assigned to every efficiency point."
CLM-0015-01,PC-CAND-0015,processed_power_fraction,8,%,Kp = converter processed power / system power,HBPP partial-power system,"Vbus=380 V; Vbt=350 V; measured operating point",reported,Experimental verification,,Table 3,numerically_verified,"Direction/operating mode must accompany cross-paper use."
CLM-0015-02,PC-CAND-0015,processed_power_fraction,6,%,Kp = converter processed power / system power,HBPP partial-power system,"Vbus=380 V; Vbt=355 V; measured operating point",reported,Experimental verification,,Table 3,numerically_verified,"Converter and system efficiencies remain separate."
CLM-0015-03,PC-CAND-0015,processed_power_fraction,6,%,Kp = converter processed power / system power,HBPP partial-power system,"Vbus=380 V; Vbt=360 V; measured operating point",reported,Experimental verification,,Table 3,numerically_verified,"Converter and system efficiencies remain separate."
CLM-0015-04,PC-CAND-0015,system_efficiency_peak,99.4,%,reported peak system efficiency,HBPP partial-power system,experimental operating range,reported,Experimental verification,system-efficiency figures,,numerically_verified_bound,"Recorded as >99.4% rather than an exact matched Kp point; do not pair with a specific Table-3 Kp without point extraction."
CLM-0017-01,PC-CAND-0017,processed_power_fraction,14.3,%,active power processed by SUDPPC / total active power,SUDPPC partial-power system,full load,reported,Experimental validation / Conclusion,, ,numerically_verified,"Full-load ratio."
CLM-0017-02,PC-CAND-0017,efficiency_peak,98.15,%,peak bidirectional conversion/system efficiency,SUDPPC partial-power prototype,bidirectional experimental operation,reported,Experimental validation,Fig. 23,,numerically_verified,"Do not assume this peak-efficiency point is identical to the 14.3% full-load processed-power point."
CLM-0023-01,PC-CAND-0023,efficiency_peak,97,%,measured converter efficiency,non-isolated hybrid quadrupler boost,"Pout≈80 W; Vin=20 V; Vout=400 V; fs=50 kHz",reported,Experimental results,efficiency result following Figs. 14-16,,numerically_verified_approx,"Paper states about 97% / above 97%; retained as approximate."
CLM-0023-02,PC-CAND-0023,efficiency_full_load,94.5,%,measured converter efficiency,non-isolated hybrid quadrupler boost,"Pout≈195 W; Vin=20 V; Vout=400 V; fs=50 kHz",reported,Experimental results,efficiency result following Figs. 14-16,,numerically_verified_approx,"Simulation stress values are not promoted as measured stress."
CLM-0023-03,PC-CAND-0023,measured_voltage_gain,20,ratio,measured operating voltage ratio Vout/Vin,non-isolated hybrid quadrupler boost,"20 V to 400 V prototype",recalculated,Experimental results,Fig. 15,,numerically_verified,"Uses measured/prototype electrical boundary, not an ideal gain equation."
CLM-0024-01,PC-CAND-0024,efficiency_full_load,96.4,%,measured converter efficiency,non-isolated quasi-resonant high-step-up converter,"Pout=200 W; Vin=25 V; Vout=400 V; fs=88 kHz",reported,Experimental results,Fig. 12,,numerically_verified,"Efficiency is reported above 96% over approximately 50-200 W."
